PBI,Excel,Lookup,Comments,Lookup
29982824,29286254,29286254,,#N/A
29985556,29796718,29796718,,#N/A
29988357,40149753,40149753,,29988357
40016527,40150698,40150698,,40016527
40020706,40151271,40151271,,40020706
40023374,40151574,40151574,,40023374
40023432,29575309,29575309,,40023432
40023808,29752766,29752766,,40023808
40024519,40151330,40151330,,#N/A
40025517,40151347,40151347,,40025517
40027270,40151799,40151799,,40027270
40057705,40115824,40115824,,40057705
40071101,40150201,40150201,,40071101
40094439,29205328,29205328,,40094439
40095784,29695306,29695306,,#N/A
40099338,29794564,29794564,,40099338
40099516,40151343,40151343,,40099516
40103477,40151344,40151344,,#N/A
40108679,40151760,40151760,,40108679
40110974,40151965,40151965,,#N/A
40115831,29634580,29634580,,40115831
40122681,40149506,40149506,,40122681
40124252,40151549,40151549,,40124252
40126708,29568411,29568411,,40126708
40126777,29210832,29210832,,#N/A
40129302,29275764,29275764,,40129302
40131028,40025517,40025517,,40131028
40131875,40026989,40026989,,#N/A
40131896,40149241,40149241,,#N/A
40131994,40151302,40151302,,#N/A
40132340,40151303,40151303,,40132340
40132574,40151304,40151304,,40132574
40133126,40151654,40151654,,#N/A
40134518,29266660,29266660,,40134518
40134801,29605130,29605130,,40134801
40137438,40143499,40143499,,40137438
40139058,40151578,40151578,,40139058
40140470,40151579,40151579,,40140470
40140658,40126708,40126708,,40140658
40142145,40151353,40151353,,40142145
40142630,40151416,40151416,,40142630
40142780,40151539,40151539,,40142780
40143489,40151692,40151692,,40143489
40143499,40151830,40151830,,40143499
40144538,40151765,40151765,,#N/A
40145757,40151450,40151450,,40145757
40146089,40151626,40151626,,40146089
40146422,40151392,40151392,,40146422
40146519,40026263,40026263,,#N/A
40147192,40030625,40030625,,40147192
40147355,40099516,40099516,,#N/A
40147442,29467082,29467082,,40147442
40147557,29453744,29453744,,40147557
40147590,29832281,29832281,,40147590
40147596,29965072,29965072,,#N/A
40147630,40122662,40122662,,40147630
40147878,40150966,40150966,,40147878
40148181,40132340,40132340,,40148181
40148453,29533608,29533608,,40148453
40148461,40026826,40026826,,40148461
40148478,29518062,29518062,,40148478
40148544,40150336,40150336,,40148544
40148571,40147912,40147912,,40148571
40148630,40071171,40071171,,40148630
40148635,40148580,40148580,,40148635
40148682,40148600,40148600,,40148682
40148700,40150333,40150333,,40148700
40148719,40148593,40148593,,40148719
40148744,40148630,40148630,,40148744
40148745,29243776,29243776,,40148745
40148789,29547293,29547293,,40148789
40148793,29735186,29735186,,40148793
40148795,40148884,40148884,,40148795
40148869,29185145,29185145,,40148869
40148884,29224938,29224938,,40148884
40149068,40151124,40151124,,#N/A
40149340,40142145,40142145,,#N/A
40149364,40147557,40147557,,40149364
40149370,40150953,40150953,,40149370
40149400,40150955,40150955,,40149400
40149427,40150979,40150979,,40149427
40149428,40150984,40150984,,40149428
40149442,29190331,29190331,,40149442
40149447,40148762,40148762,,40149447
40149555,40150259,40150259,,40149555
40149556,40148692,40148692,,40149556
40149685,40148916,40148916,,40149685
40149753,40150969,40150969,,40149753
40149754,40149400,40149400,,40149754
40149761,40151007,40151007,,#N/A
40149769,40134847,40134847,,40149769
40149799,40147313,40147313,,40149799
40149800,29579264,29579264,,40149800
40149820,29370066,29370066,,40149820
40150071,29468492,29468492,,40150071
40150073,40023432,40023432,,40150073
40150074,29250692,29250692,,40150074
40150076,29805199,29805199,,40150076
40150077,29835693,29835693,,40150077
40150078,29955057,29955057,,40150078
40150259,40016527,40016527,,40150259
40150333,40152633,40152633,,40150333
40150336,40150712,40150712,,40150336
